tweet_id,content,label
tweet_0,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,0
tweet_1,Layin n bed with a headache  ughhhh...waitin on your call...,1
tweet_2,Funeral ceremony...gloomy friday...,1
tweet_3,wants to hang out with friends SOON!,2
tweet_4,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",3
tweet_5,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",1
tweet_6,Hmmm. http://www.djhero.com/ is down,4
tweet_7,@charviray Charlene my love. I miss you,1
tweet_8,cant fall asleep,3
tweet_9,Choked on her retainers,4
tweet_10,Ugh! I have to beat this stupid song to get to the next  rude!,1
tweet_11,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,1
tweet_12,Got the news,5
tweet_13,@annarosekerr agreed,6
tweet_14,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,4
tweet_15,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,1
tweet_16,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,4
tweet_17,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,3
tweet_18,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,4
tweet_19,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",1
tweet_20,Damm servers still down  i need to hit 80 before all the koxpers pass me,4
tweet_21,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,1
tweet_22,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,4
tweet_23,@cynthia_123 i cant sleep,3
tweet_24,I missed the bl***y bus!!!!!!!!,3
tweet_25,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,3
tweet_26,SoCal!  stoked. or maybe not.. tomorrow,3
tweet_27,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,1
tweet_28,I need skott right now,4
tweet_29,has work this afternoon,3
tweet_30,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,3
tweet_31,mmm much better day... so far! it's still quite early. last day of #uds,9
tweet_32,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,7
tweet_33,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,4
tweet_34,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,4
tweet_35,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",4
tweet_36,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,1
tweet_37,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",3
tweet_38,wnna take a bath!!!!,3
tweet_39,Chocolate milk is so much better through a straw. I lack said straw,3
tweet_40,why am i so tired?,4
tweet_41,@djmicdamn hey yu lil fucker i textd yu,0
tweet_42,@benballer  no way! damn that sucks B!  are you ok?,3
tweet_43,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",2
tweet_44,@lostluna But I got dibs on Sulu...,3
tweet_45,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",1
tweet_46,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,1
tweet_47,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,1
tweet_48,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,1
tweet_49,At home alone with not much to do,3
tweet_50,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,4
tweet_51,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,4
tweet_52,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",9
tweet_53,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',4
tweet_54,says I miss plurking.  http://plurk.com/p/wxion,3
tweet_55,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",4
tweet_56,I miss Voobys!,3
tweet_57,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",9
tweet_58,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",4
tweet_59,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,3
tweet_60,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",1
tweet_61,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,1
tweet_62,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,4
tweet_63,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,4
tweet_64,@lepetitagneau what's going on sweetheart?,3
tweet_65,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",3
tweet_66,"Last one month due to summer, strawberry is not availble in the Chennai markets!",4
tweet_67,@willxxmobb work at 6am. Gotta go to bed soon,3
tweet_68,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,6
tweet_69,@sweeetnspicy hiii im on my ipod...i cant fall asleep,1
tweet_70,dont wanna work 11-830 tomorrow  but i get paid,1
tweet_71,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,1
tweet_72,PrinceCharming,3
tweet_73,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,8
tweet_74,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),4
tweet_75,Oh is that time for real?,3
tweet_76,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,1
tweet_77,Oh no one minute too late! Oh well,4
tweet_78,"@soviet_star Damn, that sucks",8
tweet_79,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,8
tweet_80,ahh! big scary bug flying around my room!!!!!,4
tweet_81,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",1
tweet_82,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,4
tweet_83,i'm so tired,10
tweet_84,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,3
tweet_85,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.,3
tweet_86,@thecreativeone I second that. I wish it rained more where I am,3
tweet_87,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,1
tweet_88,damn it were is Eric or anyone else when you need your hair to be played with,3
tweet_89,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;,1
tweet_90,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.",4
tweet_91,@britblackbird  youstinkatrespondingtotexts!,8
tweet_92,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",9
tweet_93,Is miserable  i feel like im gona cry  sux!,1
tweet_94,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,3
tweet_95,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one,4
tweet_96,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.,6
tweet_97,*sigh* I'm going to bed... I just don't feel right anymore...,1
tweet_98,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,3
tweet_99,@jwillock EpiCentre Wheelock Place - tourists only..,3
tweet_100,Now I am depressed after watching so you think you can dance,1
tweet_101,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",1
tweet_102,miss 16'th,3
tweet_103,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",3
tweet_104,"I cant sleep, but im too sore to move",4
tweet_105,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,3
tweet_106,@softtouchme just answered you- never learned how to write in French- just basic stuff-,0
tweet_107,what is it with chocolates? i just can never say no,3
tweet_108,Achieving a new appreciation on how a xml build script can really be painful and cumbersome,4
tweet_109,@ether_radio i'm too awake now  ill have a nap this afternoon,3
tweet_110,@omfgiselle i cant do anything,4
tweet_111,still needs another 6 hours of sleep,3
tweet_112,I'm at work,11
tweet_113,"Last day working for the Uni today, sad times",1
tweet_114,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far",6
tweet_115,My head hurts so bad I could scream!,4
tweet_116,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,4
tweet_117,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,4
tweet_118,"where are all ma bestfriends at ? , MIA or wat ?",3
tweet_119,oh men!!!!!!......I really can't see my face........c'mon guys!!!,4
tweet_120,my sole supporter is not my sole supporter,4
tweet_121,don't you hate it when you finish all your work and there's still 1.25 hours left of work time,8
tweet_122,@Emilyyy16 urgh stop it guys,4
tweet_123,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones),1
tweet_124,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?,4
tweet_125,@BarbSchaefer yearling in pet home died... very sad for their whole family,1
tweet_126,fun in the sun hmmm hell no it's cold,3
tweet_127,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.",1
tweet_128,is feeling sad... for some reason..  http://plurk.com/p/wxji3,4
tweet_129,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,1
tweet_130,@juneyee i don't think so.  I WANT DETAILS.,3
tweet_131,@jackgraycnn Hi...!!! Who is Mary Poppins???,3
tweet_132,my last tweet didn't send  bad phone,3
tweet_133,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?,7
tweet_134,Have a headache  I'm going to bed. Goodnight!,0
tweet_135,@taxidermi  I was watching Parental Control,3
tweet_136,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",7
tweet_137,Took a shift tomorrow.    I don't really feel like working right now.,1
tweet_138,but now i have no money for a phone,1
tweet_139,@Bern_morley where are you? In Bris? I can't hear any thunder,5
tweet_140,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",5
tweet_141,I had a dream about a pretty pretty beach and there was no beach when I woke up,5
tweet_142,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",1
tweet_143,when da heck will the garage man get here I ask you.. WHEN..,5
tweet_144,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,8
tweet_145,why are plane tickets so expensive,4
tweet_146,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,7
tweet_147,@AlexanderGWhite daaammmnnnnn I do wish I was there.,1
tweet_148,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,4
tweet_149,@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4,0
tweet_150,is a bad friend,1
tweet_151,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,3
tweet_152,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin,8
tweet_153,@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am,3
tweet_154,would wish the severe migrains would stop!!! doc's prescriptions arent working,8
tweet_155,@bobbyedner i missed the game,6
tweet_156,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby",1
tweet_157,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,1
tweet_158,I'm so very tired...and have insomnia.,8
tweet_159,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,3
tweet_160,@yelgiuQnayR airport? and you didnt show up tonight homo!,3
tweet_161,@MrRathbone what about me,3
tweet_162,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking",3
tweet_163,Why am I completing facebook quizzes at this time of the morning... especially a friday morning,5
tweet_164,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry,3
tweet_165,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,4
tweet_166,Had to cancel wow for now,1
tweet_167,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio,4
tweet_168,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.,1
tweet_169,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",4
tweet_170,@__sugar oh no  i am always here ;) &lt;3,4
tweet_171,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",9
